zone_ID Sig1(MPa) Sig2(MPa) Sig3(MPa) _Sxx(MPa) _Syy(MPa) _Szz(MPa) _State
270 -68813.6 -136732 -137648 -136821 -68817 -137555 0
271 -41346.1 -81784.1 -82561.6 -81821 -41350.7 -82520.1 0
272 -13835.6 -26761.5 -27509.6 -26751.3 -13851.9 -27503.6 0
273 -96171.7 -191651 -192700 -191757 -96174.9 -192591 0
274 -68747.6 -136774 -137626 -136847 -68750.9 -137550 0
275 -41276 -81814.6 -82550.4 -81843.5 -41280.5 -82516.9 0
276 -13759.6 -26790.4 -27509.1 -26779.3 -13775.6 -27504.2 0
277 -96106.5 -191703 -192670 -191789 -96109.6 -192580 0
278 -68683 -136814 -137604 -136872 -68686.1 -137543 0
279 -41208 -81844.5 -82540.8 -81866.4 -41212.4 -82514.5 0
280 -13685.2 -26818.6 -27507.9 -26806.9 -13700.7 -27504.1 0
281 -96044.7 -191752 -192641 -191821 -96047.5 -192569 0
282 -68620.7 -136851 -137585 -136897 -68623.7 -137536 0
283 -41142.3 -81873.2 -82531.7 -81889.1 -41146.5 -82511.6 0
284 -13613.7 -26846.2 -27506.8 -26834.2 -13628.6 -27503.9 0
285 -95987.2 -191798 -192615 -191852 -95989.8 -192558 0
286 -68562.1 -136887 -137568 -136921 -68564.8 -137531 0
287 -41079.3 -81900.3 -82523.4 -81911.2 -41083.3 -82508.6 0
288 -13545.1 -26872.8 -27505.3 -26860.8 -13559.1 -27503.2 0
289 -95933.5 -191841 -192590 -191882 -95935.8 -192547 0
290 -68506.1 -136920 -137552 -136945 -68508.6 -137525 0
291 -41019 -81925.9 -82515.8 -81932.6 -41022.7 -82505.4 0
292 -13480.8 -26899 -27504.5 -26887.2 -13494 -27503 0
293 -95884.4 -191880 -192569 -191910 -95886.4 -192537 0
294 -68452.9 -136950 -137537 -136967 -68455.1 -137518 0
295 -40962.6 -81950.3 -82509.7 -81953.9 -40966 -82502.8 0
296 -13420.4 -26924.3 -27503.5 -26913 -13432.6 -27502.5 0
297 -95839.7 -191916 -192548 -191937 -95841.5 -192525 0
298 -68403.8 -136977 -137525 -136988 -68405.9 -137512 0
299 -40909.3 -81973.3 -82505 -81974.5 -40912.4 -82500.7 0
300 -13363.9 -26948.9 -27503.2 -26938.3 -13375.1 -27502.6 0
301 -95799.2 -191949 -192529 -191962 -95800.7 -192514 0
302 -68358.7 -137002 -137513 -137008 -68360.5 -137506 0
303 -40859.7 -81994.7 -82500.9 -81994.3 -40862.5 -82498.6 0
304 -13311.4 -26972.7 -27503.5 -26962.9 -13321.6 -27503.2 0
305 -95763.1 -191978 -192511 -191985 -95764.3 -192502 0
306 -68317.5 -137025 -137504 -137028 -68319 -137499 0
307 -40813.7 -82014.6 -82497.2 -82013.2 -40816.2 -82496.1 0
308 -13262.8 -26995.3 -27503.3 -26986.3 -13271.9 -27503.1 0
309 -95732 -192004 -192496 -192008 -95733.1 -192491 0
310 -68280.1 -137046 -137495 -137046 -68281.4 -137493 0
311 -40771.5 -82033.2 -82493.7 -82031.3 -40773.7 -82493.3 0
312 -13217.8 -27016.5 -27502.7 -27008.4 -13226 -27502.7 0
313 -95704.8 -192028 -192483 -192029 -95705.6 -192481 0
314 -68245.8 -137064 -137487 -137063 -68246.9 -137486 0
315 -40733.6 -82050.8 -82491.2 -82049 -40735.5 -82491 0
316 -13177.3 -27036.8 -27501.9 -27029.6 -13184.5 -27501.8 0
317 -95680.9 -192049 -192471 -192049 -95681.6 -192470 0
318 -68215.5 -137080 -137481 -137080 -68216.4 -137481 0
319 -40699.1 -82067.3 -82488.9 -82065.8 -40700.8 -82488.7 0
320 -13141.9 -27057 -27502 -27050.7 -13148.3 -27502 0
321 -95661.2 -192067 -192460 -192067 -95661.8 -192460 0
322 -68188.8 -137095 -137476 -137095 -68189.6 -137475 0
323 -40667.6 -82082.4 -82487 -82081.6 -40669.1 -82486.4 0
324 -13110.2 -27076.1 -27502.3 -27070.8 -13115.7 -27502.1 0
325 -95644.4 -192083 -192450 -192083 -95644.9 -192450 0
326 -68165.2 -137109 -137471 -137109 -68165.9 -137470 0
327 -40640.1 -82096.9 -82485.7 -82096.8 -40641.4 -82484.5 0
328 -13081 -27093.5 -27501.5 -27089.1 -13085.8 -27501.3 0
329 -95630.3 -192097 -192442 -192098 -95630.6 -192440 0
330 -68144.4 -137121 -137467 -137123 -68145 -137465 0
331 -40615.4 -82110.4 -82484.2 -82111.1 -40616.4 -82482.4 0
332 -13056.2 -27110.6 -27501.4 -27106.9 -13060.2 -27501.1 0
333 -95619 -192110 -192434 -192112 -95619.3 -192432 0
334 -68126.4 -137132 -137464 -137135 -68126.8 -137460 0
335 -40594.2 -82123.1 -82482.7 -82124.7 -40595.1 -82480.2 0
336 -13035 -27127.1 -27501.9 -27124.2 -13038.4 -27501.4 0
337 -95610.1 -192121 -192427 -192125 -95610.3 -192423 0
338 -68111.6 -137143 -137460 -137147 -68112 -137455 0
339 -40576.6 -82135.6 -82482 -82138 -40577.3 -82478.8 0
340 -13016.7 -27142.8 -27502.3 -27140.5 -13019.6 -27501.7 0
341 -95603.2 -192131 -192420 -192137 -95603.4 -192415 0
342 -68098.7 -137152 -137456 -137158 -68098.9 -137450 0
343 -40559.9 -82146.6 -82480.9 -82149.8 -40560.5 -82477.1 0
344 -13001 -27157.3 -27502.7 -27155.6 -13003.4 -27501.9 0
345 -95597.9 -192140 -192414 -192147 -95598 -192407 0
346 -68087.8 -137161 -137453 -137168 -68088 -137446 0
347 -40547.1 -82157.4 -82480.2 -82161.3 -40547.6 -82475.7 0
348 -12987.5 -27170.6 -27502.5 -27169.5 -12989.5 -27501.6 0
349 -95593.9 -192148 -192408 -192157 -95594 -192399 0
350 -68079 -137169 -137450 -137177 -68079.1 -137442 0
351 -40535.6 -82167.4 -82479.6 -82172 -40536 -82474.7 0
352 -12976.1 -27182.9 -27502.2 -27182.3 -12977.8 -27501.2 0
353 -95590.8 -192155 -192401 -192165 -95590.9 -192391 0
354 -68071.9 -137176 -137448 -137186 -68072.1 -137438 0
355 -40526.2 -82176.9 -82479.3 -82182 -40526.6 -82473.9 0
356 -12967.1 -27194.7 -27502.4 -27194.5 -12968.4 -27501.3 0
357 -95589 -192161 -192396 -192172 -95589.1 -192385 0
358 -68065.8 -137183 -137445 -137193 -68065.9 -137435 0
359 -40518.4 -82185.5 -82478.2 -82191.1 -40518.7 -82472.4 0
360 -12960.2 -27206 -27502.8 -27206.1 -12961.3 -27501.6 0
361 -95587.9 -192167 -192391 -192179 -95587.9 -192379 0
362 -68061.1 -137189 -137443 -137200 -68061.2 -137432 0
363 -40512.2 -82193.5 -82477.2 -82199.4 -40512.4 -82471 0
364 -12954.5 -27216.1 -27502.8 -27216.5 -12955.3 -27501.6 0
365 -95587.9 -192172 -192387 -192185 -95587.9 -192374 0
366 -68057.2 -137195 -137440 -137207 -68057.3 -137429 0
367 -40506.7 -82200.6 -82476.4 -82206.8 -40506.9 -82470 0
368 -12950.2 -27225.4 -27503.2 -27226.1 -12950.9 -27501.8 0
369 -95588.7 -192177 -192383 -192191 -95588.7 -192369 0
370 -68054.7 -137200 -137438 -137212 -68054.7 -137426 0
371 -40502.3 -82206.9 -82475.6 -82213.4 -40502.5 -82469 0
372 -12946.6 -27233.7 -27503.4 -27234.6 -12947.1 -27502 0
373 -95589.3 -192182 -192379 -192196 -95589.3 -192365 0
374 -68052.8 -137205 -137437 -137218 -68052.8 -137424 0
375 -40499.3 -82212.8 -82475.1 -82219.5 -40499.4 -82468.3 0
376 -12944 -27241.1 -27503.4 -27242.2 -12944.4 -27502 0
377 -95590.1 -192185 -192376 -192200 -95590.1 -192361 0
378 -68051.1 -137209 -137435 -137222 -68051.1 -137422 0
379 -40497.1 -82218.3 -82474.9 -82225.2 -40497.1 -82468 0
380 -12942.1 -27247.7 -27503.5 -27248.9 -12942.4 -27502 0
381 -95591.3 -192189 -192373 -192204 -95591.3 -192358 0
382 -68050 -137213 -137433 -137226 -68050.1 -137420 0
383 -40495.3 -82223.1 -82474.5 -82230 -40495.3 -82467.5 0
384 -12940.7 -27253.3 -27503.6 -27254.7 -12940.9 -27502 0
385 -95592 -192191 -192370 -192207 -95592 -192355 0
386 -68049.3 -137216 -137432 -137230 -68049.3 -137419 0
387 -40494 -82227.2 -82474 -82234.2 -40494 -82467 0
388 -12940 -27258.3 -27503.6 -27259.8 -12940.1 -27502 0
389 -95593.1 -192194 -192368 -192209 -95593.1 -192353 0
390 -68049.4 -137220 -137431 -137233 -68049.4 -137418 0
